raw_text_examples,normalized_suggestion,occurrences,example_recipe_ids,notes
"۳ قاشق غذاخوری آب‌لیمو تازه | آب‌لیمو تازه، ۱ لیوان | ۲ قاشق غذاخوری آب‌لیمو تازه","آب‌لیمو تازه","47","962;1055;1056",""
"۵۰۰ گرم قارچ | قارچ، ۲۵۰ گرم | ۳۰۰ گرم قارچ","قارچ","47","574;80;1225",""
"۱ قاشق غذاخوری جعفری خردشده | ۲ قاشق غذاخوری جعفری خردشده | ۴۰ گرم جعفری خردشده","جعفری خردشده","46","574;790;1147",""
"۱ قاشق غذاخوری سس سویا | ۲ قاشق غذاخوری سس سویا | ۳ قاشق غذاخوری سس سویا","سس سویا","45","1478;1484;1492",""
"برنج باسماتی | ۲ پیمانه برنج باسماتی | ۱ پیمانه برنج باسماتی","برنج باسماتی","45","328;352;356",""
"زعفران | کمی زعفران | زعفران به میزان لازم","زعفران","45","328;344;370",""
"۳ قاشق غذاخوری آرد | ۲ قاشق غذاخوری آرد | ۱ قاشق غذاخوری آرد","آرد","42","962;791;1360",""
"۱ بسته ماکارونی | ماکارونی به مقدار لازم | 500 گرم ماکارونی","ماکارونی","42","1015;62;94",""
"پنیر موزارلا رنده‌شده ۱۲۰ گرم | ۱ پیمانه پنیر موزارلا رنده‌شده | ۱۵۰ گرم پنیر موزارلا رنده‌شده","پنیر موزارلا رنده‌شده","41","932;838;1225",""
"پودر سوخاری، به مقدار لازم | ۵۰ گرم پودر سوخاری | ۱ پیمانه پودر سوخاری","پودر سوخاری","39","1046;741;817",""
"زرده تخم‌مرغ – ۱ عدد | 5 زرده تخم‌مرغ | زرده تخم‌مرغ – ۲ عدد","زرده تخم‌مرغ","39","649;361;1230",""
"۲ قاشق غذاخوری پیاز داغ | ۶ قاشق غذاخوری پیاز داغ | ۱ قاشق غذاخوری پیاز داغ","پیاز داغ","38","1361;1041;790",""
"پیاز - 2 عدد متوسط | 1 عدد پیاز متوسط | پیاز متوسط","پیاز متوسط","38","333;62;418",""
"گوشت چرخ کرده; 100 گرم | گوشت چرخ کرده | گوشت چرخ کرده ۳۰۰ گرم","گوشت چرخ کرده","37","307;181;323",""
"۱ قاشق غذاخوری سس گوجه‌فرنگی | ۲ قاشق غذاخوری سس گوجه‌فرنگی | سس گوجه‌فرنگی","سس گوجه‌فرنگی","36","1108;1129;901",""
"آب مرغ | ۱ پیمانه آب مرغ | ۲ پیمانه آب مرغ","آب مرغ","33","873;1534;694",""
"۱ قاشق غذاخوری زعفران دم‌کرده | ۲ قاشق غذاخوری زعفران دم‌کرده | زعفران دم‌کرده به مقدار لازم","زعفران دم‌کرده","32","958;1041;1061",""
"۱ عدد گوجه‌فرنگی | گوجه‌فرنگی | ۳ عدد گوجه‌فرنگی","گوجه‌فرنگی","32","325;806;1359",""
"دارچین | دارچین، به میزان لازم | دارچین به مقدار لازم","دارچین","31","323;1045;369",""
"گوجه‌فرنگی خردشده ۱ پیمانه | ۴۰۰ گرم گوجه‌فرنگی خردشده | ۱ عدد گوجه‌فرنگی، خردشده","گوجه‌فرنگی خردشده","31","932;694;868",""
"۱ عدد پیاز بزرگ، ریز خردشده | 2 عدد پیاز بزرگ، ریز خردشده | پیاز – ۲ عدد بزرگ، ریز خردشده","پیاز بزرگ ریز خردشده","30","1024;1032;1056",""
"۳ حبه سیر، له‌شده | ۱ حبه سیر، له‌شده | ۲ حبه سیر، له‌شده","سیر له‌شده","30","962;791;928",""
"۴ عدد تخم‌مرغ درشت | ۶ عدد تخم‌مرغ درشت | ۲ عدد تخم‌مرغ درشت","تخم‌مرغ درشت","30","783;784;788",""
"برگ بو - 1 عدد | برگ بو | ۲ عدد برگ بو","برگ بو","29","333;1110;1491",""
"هویج | 2 هویج | ۲ عدد هویج","هویج","27","819;539;390",""
"فلفل سیاه تازه آسیاب‌شده به مقدار لازم | فلفل سیاه تازه آسیاب‌شده، به مقدار لازم | فلفل سیاه تازه آسیاب‌شده، به میزان لازم","فلفل سیاه تازه آسیاب‌شده","26","783;1460;788",""
"تخم مرغ | 2 تخم مرغ | 5 تخم مرغ","تخم مرغ","26","443;465;468",""
"۱ حبه سیر، خرد شده | ۳ حبه سیر، خرد شده | سیر، خرد شده","سیر خرد شده","24","314;332;348",""
"۴ عدد تخم‌مرغ بزرگ | ۱۲ عدد تخم‌مرغ بزرگ | ۳ عدد تخم‌مرغ بزرگ","تخم‌مرغ بزرگ","24","797;810;450",""
"آب لیموی تازه | آب لیموی تازه – ۴ قاشق غذاخوری | آب لیموی تازه، به میزان لازم","آب لیموی تازه","24","819;729;723",""
"خمیر پیتزا | ۱ بسته خمیر پیتزا | ۲۰۰ گرم خمیر پیتزا","خمیر پیتزا","24","911;899;903",""
"۲ قاشق غذاخوری سرکه | سرکه | سرکه به میزان لازم","سرکه","23","1037;724;669",""
"۲۵۰ گرم سینه مرغ | ۲ عدد سینه مرغ | سینه مرغ","سینه مرغ","23","325;851;430",""
"1 پیاز، خرد شده | پیاز خرد شده - ۱ عدد | ۱ پیاز، خرد شده","پیاز خرد شده","23","191;339;337",""
"ماست | ماست - ۳۵۰ گرم | ۱ پیمانه ماست","ماست","23","288;157;984",""
"۲۰۰ گرم سیب‌زمینی | سیب‌زمینی | ۵۰۰ گرم سیب‌زمینی","سیب‌زمینی","22","574;1359;901",""
"۵۰۰ گرم روغن برای سرخ کردن | روغن، برای سرخ کردن | ۱۰۰ گرم روغن برای سرخ کردن","روغن برای سرخ کردن","22","1043;1046;741",""
"۱ قاشق غذاخوری زرشک | زرشک | ۱ پیمانه زرشک","زرشک","22","1046;328;330",""
"پیاز خردشده | ۱ عدد پیاز، خردشده | پیاز – ۱ عدد، خردشده","پیاز خردشده","22","1087;861;872",""
"جعفری | جعفری، به مقدار لازم | جعفری برای تزیین","جعفری","22","443;468;430",""
"۲ قاشق غذاخوری پنیر پارمزان رنده‌شده | پنیر پارمزان رنده‌شده | ۱ پیمانه پنیر پارمزان رنده‌شده","پنیر پارمزان رنده‌شده","21","784;901;1469",""
"۵ عدد قارچ، ورقه‌ای خردشده | ۵۰ گرم قارچ، ورقه‌ای خردشده | ۳۰۰ گرم قارچ، ورقه‌ای خردشده","قارچ ورقه‌ای خردشده","21","790;867;881",""
"۱ قاشق غذاخوری روغن نباتی | ۲ قاشق غذاخوری روغن نباتی | 4 قاشق غذاخوری روغن نباتی","روغن نباتی","21","315;330;369",""
"۱/۲ قاشق چای‌خوری نمک | ۱/۴ قاشق چای‌خوری نمک | ۳/۴ قاشق چای‌خوری نمک","/ قاشق چای‌خوری نمک","21","928;1494;947",""
"جعفری تازه | جعفری تازه برای تزیین | جعفری تازه، برای تزیین","جعفری تازه","21","344;724;380",""
"۲ قاشق غذاخوری سس مایونز | ۴۰ گرم سس مایونز | ۱ پیمانه سس مایونز","سس مایونز","21","755;741;711",""
"۱ پیمانه گشنیز تازه خردشده | گشنیز تازه خردشده برای تزیین | گشنیز تازه، خردشده","گشنیز تازه خردشده","21","1534;1540;868",""
"۱ قاشق چای‌خوری زیره آسیاب‌شده","قاشق چای‌خوری زیره آسیاب‌شده","20","784;1520;870",""
"۲ قاشق غذاخوری رب گوجه فرنگی | رب گوجه فرنگی | رب گوجه فرنگی - ۲ قاشق غذاخوری","رب گوجه فرنگی","20","42;430;438",""
"فلفل قرمز، به مقدار لازم | فلفل قرمز | فلفل قرمز، به میزان لازم","فلفل قرمز","20","791;1087;1108",""
"روغن به مقدار لازم برای سرخ کردن | روغن به مقدار لازم، برای سرخ کردن | روغن، به مقدار لازم برای سرخ کردن","روغن  برای سرخ کردن","20","342;1523;855",""
"1 پیمانه جعفری تازه، ریز خردشده | ۱ قاشق غذاخوری جعفری تازه، ریز خردشده | ۲۵۰ گرم جعفری تازه، ریز خردشده","جعفری تازه ریز خردشده","19","1032;801;1078",""
"۱ قاشق چای‌خوری شکر | ۲ قاشق چای‌خوری شکر | 1 قاشق چای‌خوری شکر","قاشق چای‌خوری شکر","19","1460;1037;1174",""
"۱ حبه سیر، رنده‌شده | سیر رنده‌شده | سیر رنده‌شده – 3 حبه","سیر رنده‌شده","19","784;819;878",""
"۴۰۰ گرم اسپاگتی | 500 گرم اسپاگتی | 700 گرم اسپاگتی","اسپاگتی","19","87;189;78",""
"2 قاشق چای‌خوری فلفل سیاه | ۱ قاشق چای‌خوری فلفل سیاه | ۲ قاشق چای‌خوری فلفل سیاه","قاشق چای‌خوری فلفل سیاه","18","1032;1040;1491",""
"فلفل دلمه‌ای | ۱ عدد فلفل دلمه‌ای | ۲ عدد فلفل دلمه‌ای","فلفل دلمه‌ای","18","787;325;354",""
"۱ عدد فلفل دلمه‌ای، خردشده | ۱ پیمانه فلفل دلمه‌ای، خردشده | ۲ عدد فلفل دلمه‌ای، خردشده","فلفل دلمه‌ای خردشده","18","789;1059;879",""
"۱/۲ قاشق چای‌خوری فلفل سیاه | ۱/۴ قاشق چای‌خوری فلفل سیاه | ۳/۴ قاشق چای‌خوری فلفل سیاه","/ قاشق چای‌خوری فلفل سیاه","18","1113;876;1159",""
"۴ عدد فیله مرغ | ۵۰۰ گرم فیله مرغ | ۳ عدد فیله مرغ","فیله مرغ","17","962;831;838",""
"۱ عدد پیاز رنده‌شده | ۲ قاشق غذاخوری پیاز رنده‌شده | ۲ عدد پیاز، رنده‌شده","پیاز رنده‌شده","17","1037;758;1152",""
"۲ قاشق چای‌خوری آویشن خشک | 1 قاشق چای‌خوری آویشن خشک | ۱ قاشق چای‌خوری آویشن خشک","قاشق چای‌خوری آویشن خشک","17","796;191;87",""
"ماست ساده | ۲ قاشق غذاخوری ماست ساده | ۱ پیمانه ماست ساده","ماست ساده","17","820;829;1191",""
"جعفری خرد شده | 1 قاشق غذاخوری جعفری خرد شده | 1 قاشق غذاخوری جعفری، خرد شده","جعفری خرد شده","17","418;417;421",""
"۵۰۰ گرم پاستا | ۲۵۰ گرم پاستا | پاستا - 400 گرم","پاستا","17","228;1289;193",""
"پودر سیر به مقدار لازم | ۱۰ گرم پودر سیر | پودر سیر – ۴ قاشق غذاخوری","پودر سیر","16","958;741;1120",""
"۱ پیمانه آبِ مرغ | ۶ پیمانه آبِ مرغ | آبِ مرغ","آبِ مرغ","16","1478;1463;863",""
"۲ عدد پیازچه، خردشده | ۱ پیمانه پیازچه خردشده | پیازچه خردشده برای تزیین","پیازچه خردشده","16","1484;1492;1514",""
"۱/۳ پیمانه شیر | ۱/۲ پیمانه شیر | ۳/۴ پیمانه شیر","/ شیر","16","928;1147;1186",""
"گشنیز تازه | گشنیز تازه، برای تزیین | گشنیز تازه برای تزیین","گشنیز تازه","16","380;468;879",""
"پنیر موزارلا | ۲ پیمانه پنیر موزارلا | پنیر موزارلا، به میزان لازم","پنیر موزارلا","16","903;428;1222",""
"۲ قاشق غذاخوری روغن گیاهی | روغن گیاهی | روغن گیاهی به مقدار لازم","روغن گیاهی","15","1478;332;421",""
"۱ قاشق چای‌خوری بیکینگ‌پودر | ۲ قاشق چای‌خوری بیکینگ‌پودر","قاشق چای‌خوری بیکینگ‌پودر","15","791;928;814",""
"۱ پیمانه پنیر پیتزا | ۱۵۰ گرم پنیر پیتزا | 300 گرم پنیر پیتزا","پنیر پیتزا","15","796;928;94",""
"۱ پیمانه نخودفرنگی | ۱۰۰ گرم نخودفرنگی | نخودفرنگی – ۱۵۰ گرم","نخودفرنگی","15","335;635;1287",""
"۱ پیمانه قارچ خردشده | قارچ خردشده – ۱ پیمانه | ۱ پیمانه قارچ، خردشده","قارچ خردشده","15","797;916;1183",""
"۱ حبه سیر، خردشده | سیر خردشده | ۲ حبه سیر، خردشده","سیر خردشده","15","315;1087;911",""
"۱۵۰ گرم خلال بادام | 100 گرم خلال بادام | خلال بادام","خلال بادام","15","1061;361;401",""
"۱ عدد پیاز کوچک، ریز خردشده | ۱ پیاز کوچک، ریز خردشده | پیاز کوچک – ۱ عدد، ریز خردشده","پیاز کوچک ریز خردشده","15","814;1514;899",""
"آب ۱ عدد لیموترش تازه | ۱ پیمانه آب لیموترش تازه | آب لیموترش تازه","آب لیموترش تازه","15","817;1496;829",""
"پنیر پیتزا رنده‌شده | پنیر پیتزا – ۱۲۵ گرم، رنده‌شده | ۲۵ گرم پنیر پیتزا، رنده‌شده","پنیر پیتزا رنده‌شده","15","918;934;676",""
"آب لیمو | آب ۱ لیمو | 1 قاشق غذاخوری آب لیمو","آب لیمو","15","380;418;438",""
"برگ ریحان تازه | برگ ریحان تازه – برای تزیین | برگ ریحان تازه، برای تزیین","برگ ریحان تازه","15","901;943;1002",""
"۱ عدد پیاز، ریز خرد شده | پیاز، ریز خرد شده | ۱ پیاز، ریز خرد شده","پیاز ریز خرد شده","15","1131;537;186",""
"۱ پیاز متوسط، خرد شده | 2 پیاز متوسط، خرد شده | 1 پیاز متوسط; خرد شده","پیاز متوسط خرد شده","15","428;326;528",""
"کره یا روغن به میزان لازم | کره یا روغن | ۵۰ گرم کره یا روغن","کره یا روغن","14","323;787;325",""
"۴ عدد بادمجان | ۲ عدد بادمجان | 5 بادمجان","بادمجان","14","354;432;479",""
"1 پیمانه کشمش | کشمش | ۱ پیمانه کشمش","کشمش","14","369;385;401",""
"½ قاشق چای‌خوری فلفل سیاه","½ قاشق چای‌خوری فلفل سیاه","14","828;1507;895",""
"آب سبزیجات | ۱ لیتر آب سبزیجات | ۱ پیمانه آب سبزیجات","آب سبزیجات","14","537;643;640",""
"روغن – به مقدار لازم برای سرخ‌کردن | روغن به مقدار لازم برای سرخ‌کردن | روغن به میزان لازم برای سرخ‌کردن","روغن  برای سرخ‌کردن","13","1023;1037;756",""
"۴ عدد سیب‌زمینی متوسط | ۱ عدد سیب‌زمینی متوسط | ۵ عدد سیب‌زمینی متوسط","سیب‌زمینی متوسط","13","1040;1162;440",""
"۱ پیمانه اسفناج تازه | اسفناج تازه | 200 گرم اسفناج تازه","اسفناج تازه","13","789;468;434",""
"۱ حبه سیر، ریز شده | 3 حبه سیر، ریز شده | ۲ حبه سیر، ریز شده","سیر ریز شده","13","42;191;535",""
"ادویه مخلوط، به مقدار لازم | ادویه مخلوط به میزان لازم | ادویه مخلوط – به میزان لازم","ادویه مخلوط","13","791;1092;1108",""
"۱/۲ پیمانه آب | ۳/۴ پیمانه آب | ۲ ۱/۲ پیمانه آب","/ آب","13","1484;946;591",""
"۱ قاشق غذاخوری روغن کنجد | ۲ قاشق چایخوری روغن کنجد | روغن کنجد","روغن کنجد","13","1484;315;1539",""
"پودر کاری، ۳ قاشق غذاخوری | ۲ قاشق غذاخوری پودر کاری | پودر کاری، به مقدار لازم","پودر کاری","13","1055;1056;1064",""
"کره نرم‌شده به میزان لازم | ۱ قاشق غذاخوری کره نرم‌شده | ۲ قاشق غذاخوری کره نرم‌شده","کره نرم‌شده","13","758;412;1227",""
"پنیر چدار رنده‌شده | ۸۰ گرم پنیر چدار رنده‌شده | ۵۰ گرم پنیر چدار، رنده‌شده","پنیر چدار رنده‌شده","13","1087;904;975",""
"½ قاشق چای‌خوری زردچوبه","½ قاشق چای‌خوری زردچوبه","13","1107;1121;1100",""
"۱ قاشق چای‌خوری پودر سیر | 1 قاشق چای‌خوری پودر سیر","قاشق چای‌خوری پودر سیر","13","62;848;1520",""
"۳ حبه سیر، ریز خرد شده | ۲ حبه سیر، ریز خرد شده | حبه سیر، ریز خرد شده","سیر ریز خرد شده","13","870;871;895",""
"جوز هندی به مقدار لازم | جوز هندی | جوز هندی – به میزان لازم","جوز هندی","13","386;1203;43",""
"۳ قاشق غذاخوری آرد نخودچی | ۱ قاشق غذاخوری آرد نخودچی | ۳۰۰ گرم آرد نخودچی","آرد نخودچی","13","1132;1049;1044",""
"آویشن خشک | ۱ قاشق غذاخوری آویشن خشک | آویشن خشک – به میزان لازم","آویشن خشک","13","863;926;936",""
"پنیر رنده‌شده – به مقدار لازم | پنیر رنده‌شده | پنیر رنده‌شده به مقدار لازم","پنیر رنده‌شده","13","1204;1206;1207",""
"۳ حبه سیر، له شده | ۲ حبه سیر له شده | ۲ حبه سیر، له شده","سیر له شده","12","182;100;513",""
"۲ قاشق غذاخوری خامه پرچرب | خامه پرچرب | ۱ پیمانه خامه پرچرب","خامه پرچرب","12","788;1210;1215",""
"۲ عدد گوجه‌فرنگی، رنده‌شده | ۳ عدد گوجه‌فرنگی، رنده‌شده | گوجه‌فرنگی رنده‌شده – ۲ عدد","گوجه‌فرنگی رنده‌شده","12","791;1033;1012",""
"۱۰۰ گرم قارچ، ورقه‌شده | قارچ ورقه‌شده – ۱ پیمانه | ۵۰۰ گرم قارچ ورقه‌شده","قارچ ورقه‌شده","12","801;1133;1284",""
"۱۹۰ گرم قارچ، ریز خردشده | قارچ، ریز خردشده – ۱۰۰ گرم | ۵۰۰ گرم قارچ، ریز خردشده","قارچ ریز خردشده","12","810;1161;837",""
"۴ پیمانه آبِ گوشت | ۶ پیمانه آبِ گوشت | آبِ گوشت – ۱ پیمانه","آبِ گوشت","12","1070;1175;1190",""
"۱ قاشق چای‌خوری پودر کاری | 1 قاشق چای‌خوری پودر کاری | ۲ قاشق چای‌خوری پودر کاری","قاشق چای‌خوری پودر کاری","12","332;625;377",""
"1 پیمانه عدس | عدس | ۲۵۰ گرم عدس","عدس","12","369;385;643",""
"۱ عدد پیاز متوسط خردشده | ۱ عدد پیاز متوسط، خردشده | ۲ عدد پیاز متوسط، خردشده","پیاز متوسط خردشده","12","1534;866;920",""
"۲ پیمانه هویج رنده‌شده | ۱ پیمانه هویج، رنده‌شده | ۲ هویج، رنده‌شده","هویج رنده‌شده","11","1024;1460;362",""
"۲ قاشق چای‌خوری روغن زیتون | ۳ قاشق چای‌خوری روغن زیتون | ۴ قاشق چای‌خوری روغن زیتون","قاشق چای‌خوری روغن زیتون","11","182;780;946",""
"۵ عدد قارچ، ورقه‌ای | قارچ – ۸ عدد، ورقه‌ای | ۲۰۰ گرم قارچ، ورقه‌ای","قارچ ورقه‌ای","11","789;934;852",""
"۱۰۰ گرم پنیر خامه‌ای | ۷۰۰ گرم پنیر خامه‌ای | ۲۵۰ گرم پنیر خامه‌ای","پنیر خامه‌ای","11","758;758;713",""
"1 کیلوگرم برنج | ۱ کیلوگرم برنج","کیلو برنج","11","361;176;393",""
"۱/۲ قاشق چای‌خوری زردچوبه | ۱/۴ قاشق چای‌خوری زردچوبه","/ قاشق چای‌خوری زردچوبه","11","1106;1159;1519",""
"مایونز | ۱ لیوان مایونز | ۲ قاشق غذاخوری مایونز","مایونز","11","729;724;723",""
"۱ قاشق غذاخوری عسل | 2 قاشق غذاخوری عسل | ۲ قاشق غذاخوری عسل","عسل","11","879;855;978",""
"پیاز بزرگ – ۱ عدد | ۱ پیاز بزرگ | ۲ پیاز بزرگ","پیاز بزرگ","11","1246;1181;488",""
"۱ قاشق چای‌خوری پودر فلفل قرمز | ۲ قاشق چای‌خوری پودر فلفل قرمز","قاشق چای‌خوری پودر فلفل قرمز","11","343;1533;1244",""
"کرفس خردشده | کرفس خردشده، به مقدار لازم | ۲ پیمانه کرفس خردشده","کرفس خردشده","11","863;991;621",""
"۲۵۰ گرم لپه | ۱۰۰ گرم لپه | ۲ پیمانه لپه","لپه","10","1043;407;1098",""
"۲ عدد پیازچه | پیازچه | 3 عدد پیازچه","پیازچه","10","325;820;468",""
"۱ عدد گوجه‌فرنگی، ریز خردشده | ۴۰ گرم گوجه‌فرنگی، ریز خردشده | ۲ عدد گوجه‌فرنگی، ریز خردشده","گوجه‌فرنگی ریز خردشده","10","780;741;1525",""
"۱ عدد پیاز متوسط، رنده‌شده و آب‌گرفته | ۲ عدد پیاز متوسط، رنده‌شده و آب‌گرفته","پیاز متوسط رنده‌شده و آب‌گرفته","10","1045;842;1049",""
"۱ پیمانه آب ولرم | ۷ قاشق غذاخوری آب ولرم | آب ولرم به میزان لازم","آب ولرم","10","1494;1174;1215",""
"۱ قاشق چای‌خوری دارچین","قاشق چای‌خوری دارچین","10","1098;1129;879",""
"ساقه کرفس، برای تزیین | ساقه کرفس | ۲ ساقه کرفس","ساقه کرفس","10","729;430;885",""
"۱ قاشق چای‌خوری زیره | 1 قاشق چای‌خوری زیره","قاشق چای‌خوری زیره","10","861;1525;678",""
"۳ پیمانه آرد گندم | ۱ پیمانه آرد گندم | آرد گندم","آرد گندم","10","1174;1399;475",""
"پنیر پارمزان | ۱ پیمانه پنیر پارمزان | پنیر پارمزان به مقدار لازم","پنیر پارمزان","10","911;400;274",""
"زیره آسیاب‌شده | ۲ قاشق غذاخوری زیره آسیاب‌شده | ۱ قاشق غذاخوری زیره آسیاب‌شده","زیره آسیاب‌شده","10","872;1463;996",""
"هویج، خردشده | هویج خردشده | ۲ عدد هویج، خردشده","هویج خردشده","10","873;863;1183",""
"۳۰۰ گرم گوشت چرخ‌کرده گوساله | ۴۵۰ گرم گوشت چرخ‌کرده گوساله | گوشت چرخ‌کرده گوساله – ۳۰۰ گرم","گوشت چرخ‌کرده گوساله","10","1152;1480;1159",""
"۱ قاشق غذاخوری زعفران دم‌کرده غلیظ | زعفران دم‌کرده غلیظ | کمی زعفران دم‌کرده غلیظ","زعفران دم‌کرده غلیظ","10","1182;1109;984",""
"۱/۴ پیمانه جعفری تازه، خردشده | ۱/۳ پیمانه جعفری تازه، خردشده | ۱/۴ پیمانه جعفری تازه خردشده","/ جعفری تازه خردشده","9","1024;814;968",""
"۱ قاشق چای‌خوری سرکه | ۳ قاشق چای‌خوری سرکه | ۲ قاشق چای‌خوری سرکه","قاشق چای‌خوری سرکه","9","1460;1273;55",""
"۱ عدد پیاز متوسط، رنده‌شده | ۲ عدد پیاز متوسط، رنده‌شده | پیاز متوسط – ۱ عدد، رنده‌شده","پیاز متوسط رنده‌شده","9","958;1040;1230",""
"۱ عدد فلفل دلمه‌ای، ریز خردشده | فلفل دلمه‌ای، ریز خردشده | فلفل دلمه‌ای ریز خردشده","فلفل دلمه‌ای ریز خردشده","9","790;1174;905",""
"۵ عدد تخم‌مرغ، زده‌شده | ۱ عدد تخم‌مرغ، زده‌شده | ۲ عدد تخم‌مرغ، زده‌شده","تخم‌مرغ زده‌شده","9","791;859;1155",""
"خلال پسته | 100 گرم خلال پسته | خلال پسته برای تزیین","خلال پسته","9","328;361;370",""
"برگ کاهو | برگ کاهو، برای تزیین | مقداری برگ کاهو","برگ کاهو","9","759;1185;837",""
"فلفل دلمه‌ای قرمز | 1 عدد فلفل دلمه‌ای قرمز | ۲ عدد فلفل دلمه‌ای قرمز","فلفل دلمه‌ای قرمز","9","806;819;437",""
"۱۲ قاشق غذاخوری شیر هموژنیزه | شیر هموژنیزه – ۸ پیمانه | ۱ پیمانه شیر هموژنیزه","شیر هموژنیزه","9","810;649;645",""
"۴ عدد گوجه فرنگی | گوجه فرنگی - ۳۵۰ گرم | گوجه فرنگی","گوجه فرنگی","9","354;408;430",""
"پاپریکا | پاپریکا، به میزان لازم | پاپریکا به مقدار لازم","پاپریکا","9","829;872;1323",""
"روغن زیتون فرابکر | ۴ قاشق غذاخوری روغن زیتون فرابکر | ۱ قاشق غذاخوری روغن زیتون فرابکر","روغن زیتون فرابکر","9","733;1511;911",""
"جعفری تازه خرد شده، برای تزیین | ۱ قاشق غذاخوری جعفری تازه، خرد شده | ۳ قاشق غذاخوری جعفری تازه، خرد شده","جعفری تازه خرد شده","9","870;476;187",""
"پنیر موزارلای رنده‌شده | پنیر موزارلای رنده‌شده – به مقدار لازم | ۱ پیمانه پنیر موزارلای رنده‌شده","پنیر موزارلای رنده‌شده","9","911;916;920",""
"نعناع خشک | ۱ قاشق غذاخوری نعناع خشک | نعناع خشک – برای تزیین","نعناع خشک","9","703;901;479",""
"۲ قاشق غذاخوری ریحان تازه خردشده | ریحان تازه خردشده – ۲ قاشق غذاخوری | ۱ قاشق غذاخوری ریحان تازه، خردشده","ریحان تازه خردشده","9","694;982;1303",""
